rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter,raw_data
1613521639282530564,,215,,1639,0,'',1.03962666667,-1.872425,36.4,625458.498122,114932.510985,30,"""N""","""$GPGGA,002719.000,4220.3776,N,07105.3455,W,1,05,2.4,36.4,M,-33.8,M,,0000*51\r\n"""
1613521640281753202,,216,,1640,0,'',1.03961833333,-1.87241666667,36.4,625459.425771,114931.59005,30,"""N""","""$GPGGA,002720.000,4220.3771,N,07105.3450,W,1,05,2.4,36.4,M,-33.8,M,,0000*59\r\n"""
1613521641284450310,,217,,1641,0,'',1.03961,-1.87241333333,36.4,625459.797029,114930.668916,30,"""N""","""$GPGGA,002721.000,4220.3766,N,07105.3448,W,1,05,2.4,36.4,M,-33.8,M,,0000*57\r\n"""
1613521642283225458,,218,,1642,0,'',1.039605,-1.8724,36.4,625461.280939,114930.116686,30,"""N""","""$GPGGA,002722.000,4220.3763,N,07105.3440,W,1,05,2.4,36.4,M,-33.8,M,,0000*59\r\n"""
1613521643286032655,,219,,1643,0,'',1.03959833333,-1.87239666667,36.4,625461.65213,114929.379806,30,"""N""","""$GPGGA,002723.000,4220.3759,N,07105.3438,W,1,06,1.5,36.4,M,-33.8,M,,0000*5F\r\n"""
1613521644285113878,,220,,1644,0,'',1.03959333333,-1.87238833333,36.4,625462.579648,114928.827377,30,"""N""","""$GPGGA,002724.000,4220.3756,N,07105.3433,W,1,06,1.5,36.4,M,-33.8,M,,0000*5C\r\n"""
1613521645284803161,,221,,1645,0,'',1.03958666667,-1.87238333333,36.4,625463.136303,114928.090563,30,"""N""","""$GPGGA,002725.000,4220.3752,N,07105.3430,W,1,06,1.5,36.4,M,-33.8,M,,0000*5A\r\n"""
1613521646284507519,,222,,1646,0,'',1.03957833333,-1.87237666667,36.4,625463.878489,114927.169561,30,"""N""","""$GPGGA,002726.000,4220.3747,N,07105.3426,W,1,06,1.5,36.4,M,-33.8,M,,0000*5A\r\n"""
1613521647286185135,,223,,1647,0,'',1.03957166667,-1.87236833333,36.4,625464.806072,114926.43288,30,"""N""","""$GPGGA,002727.000,4220.3743,N,07105.3421,W,1,06,1.5,36.4,M,-33.8,M,,0000*58\r\n"""
1613521648286394096,,224,,1648,0,'',1.03956166667,-1.87235833333,36.4,625465.919252,114925.327757,30,"""N""","""$GPGGA,002728.000,4220.3737,N,07105.3415,W,1,06,1.5,36.4,M,-33.8,M,,0000*53\r\n"""
